T,wCO2,rho_s,rho_fl,mu_fl,wC_s,wC_fl,wMg_s,wSi_s,wH_s,Dolomite,Antigorite,Talc,Magnesite,Chlorite,Orthopyroxene,Olivine,"q,tc-ds633","cor,tc-ds633","mt,tc-ds633","hem,tc-ds633"
573.15,56,3071.29186939715,1310.74384194946,-347769.196285564,0.0855950126831827,0.0344322876644698,0.159130731039646,0.141374055756296,0,0.0264081708246709,0,0,0.58723357384752,0,0,0,0.33614317692273,0.0140738181003402,0,0.0361412603047381
573.15,57,3071.29186939715,1310.74384194946,-347769.196285564,0.0855950126831827,0.0344322876644698,0.159130731039646,0.141374055756296,0,0.0264081708246709,0,0,0.58723357384752,0,0,0,0.33614317692273,0.0140738181003402,0,0.0361412603047381
573.15,58,3071.2918696641,1313.85485932994,-347522.276061554,0.0855950126831827,0.0385287137071457,0.159130731039646,0.141374055756296,0,0.0264081702253778,0,0,0.587233574413233,0,0,0,0.336143176951947,0.0140738181015635,0,0.0361412603078792
573.15,59,3071.2918696641,1313.85485932994,-347522.276061554,0.0855950126831827,0.0385287137071457,0.159130731039646,0.141374055756296,0,0.0264081702253778,0,0,0.587233574413233,0,0,0,0.336143176951947,0.0140738181015635,0,0.0361412603078792
573.15,60,3071.29186934771,1316.92584309942,-347332.878621963,0.0855950126831826,0.0424867909997452,0.159130731039646,0.141374055756296,0,0.0264081708893611,0,0,0.58723357378905,0,0,0,0.336143176917319,0.0140738181001137,0,0.0361412603041568
573.15,61,3071.29186934771,1316.92584309942,-347332.878621963,0.0855950126831826,0.0424867909997452,0.159130731039646,0.141374055756296,0,0.0264081708893611,0,0,0.58723357378905,0,0,0,0.336143176917319,0.0140738181001137,0,0.0361412603041568
573.15,62,3071.29186941999,1319.95696867884,-347187.015581957,0.0855950126831834,0.0463134118415977,0.159130731039646,0.141374055756296,0,0.0264081708909545,0,0,0.587233573778368,0,0,0,0.336143176925229,0.0140738181004449,0,0.0361412603050032
573.15,63,3071.29186941999,1319.95696867884,-347187.015581957,0.0855950126831834,0.0463134118415977,0.159130731039646,0.141374055756296,0,0.0264081708909545,0,0,0.587233573778368,0,0,0,0.336143176925229,0.0140738181004449,0,0.0361412603050032
573.15,64,3071.29186941999,1322.94846920284,-347074.809511483,0.0855950126831829,0.0500150181935681,0.159130731039646,0.141374055756296,0,0.0264081708909545,0,0,0.587233573778364,0,0,0,0.33614317692523,0.0140738181004449,0,0.036141260305006
573.15,65,3071.29186941999,1322.94846920284,-347074.809511483,0.0855950126831829,0.0500150181935681,0.159130731039646,0.141374055756296,0,0.0264081708909545,0,0,0.587233573778364,0,0,0,0.33614317692523,0.0140738181004449,0,0.036141260305006
573.15,66,3071.29186942895,1325.90062698423,-346989.010979468,0.085595012683183,0.0535976378679294,0.159130731039646,0.141374055756296,0,0.0264081708881159,0,0,0.587233573780078,0,0,0,0.33614317692621,0.0140738181004859,0,0.0361412603051104
573.15,67,3071.29186942895,1325.90062698423,-346989.010979468,0.085595012683183,0.0535976378679294,0.159130731039646,0.141374055756296,0,0.0264081708881159,0,0,0.587233573780078,0,0,0,0.33614317692621,0.0140738181004859,0,0.0361412603051104
573.15,68,3071.29186967331,1328.81376704596,-346924.219229391,0.0855950126831832,0.0570669172835273,0.159130731039646,0.141374055756296,0,0.0264081703449972,0,0,0.587233574292458,0,0,0,0.336143176952955,0.0140738181016057,0,0.0361412603079849
573.15,69,3071.29186967331,1328.81376704596,-346924.219229391,0.0855950126831832,0.0570669172835273,0.159130731039646,0.141374055756296,0,0.0264081703449972,0,0,0.587233574292458,0,0,0,0.336143176952955,0.0140738181016057,0,0.0361412603079849
573.15,70,3071.2918695072,1331.68825041547,-346876.288565703,0.0855950126831831,0.0604281511606029,0.159130731039646,0.141374055756296,0,0.0264081708878169,0,0,0.587233573770533,0,0,0,0.336143176934775,0.0140738181008445,0,0.0361412603060308
573.15,71,3071.2918695072,1331.68825041547,-346876.288565703,0.0855950126831831,0.0604281511606029,0.159130731039646,0.141374055756296,0,0.0264081708878169,0,0,0.587233573770533,0,0,0,0.336143176934775,0.0140738181008445,0,0.0361412603060308
573.15,72,3071.29186942895,1334.52446907401,-346842.0110891,0.0855950126831834,0.0636863094837529,0.159130731039646,0.141374055756296,0,0.0264081708881158,0,0,0.58723357378008,0,0,0,0.336143176926209,0.0140738181004859,0,0.0361412603051085
573.15,73,3071.29186942895,1334.52446907401,-346842.0110891,0.0855950126831834,0.0636863094837529,0.159130731039646,0.141374055756296,0,0.0264081708881158,0,0,0.58723357378008,0,0,0,0.336143176926209,0.0140738181004859,0,0.0361412603051085
573.15,74,3071.29186945386,1337.32284106016,-346818.844468248,0.0855950126831831,0.0668460620218174,0.159130731039646,0.141374055756296,0,0.0264081708066929,0,0,0.587233573858367,0,0,0,0.336143176928937,0.0140738181006001,0,0.0361412603054033
573.15,75,3071.29186945386,1337.32284106016,-346818.844468248,0.0855950126831831,0.0668460620218174,0.159130731039646,0.141374055756296,0,0.0264081708066929,0,0,0.587233573858367,0,0,0,0.336143176928937,0.0140738181006001,0,0.0361412603054033
573.15,76,3071.29186941169,1340.08380619673,-346804.769869389,0.0855950126831833,0.0699118006590992,0.159130731039646,0.141374055756296,0,0.0264081709180955,0,0,0.587233573752272,0,0,0,0.33614317692432,0.0140738181004068,0,0.0361412603049056
573.15,77,3071.29186941169,1340.08380619673,-346804.769869389,0.0855950126831833,0.0699118006590992,0.159130731039646,0.141374055756296,0,0.0264081709180955,0,0,0.587233573752272,0,0,0,0.33614317692432,0.0140738181004068,0,0.0361412603049056
573.15,78,3071.29186941169,1342.80782233326,-346798.152409787,0.0855950126831833,0.0728876597625059,0.159130731039646,0.141374055756296,0,0.0264081709180955,0,0,0.587233573752272,0,0,0,0.33614317692432,0.0140738181004068,0,0.0361412603049056
573.15,79,3071.29186941169,1342.80782233326,-346798.152409787,0.0855950126831833,0.0728876597625059,0.159130731039646,0.141374055756296,0,0.0264081709180955,0,0,0.587233573752272,0,0,0,0.33614317692432,0.0140738181004068,0,0.0361412603049056
573.15,80,3071.29186941169,1345.49536229464,-346797.677217505,0.0855950126831833,0.075777534783235,0.159130731039646,0.141374055756296,0,0.0264081709180955,0,0,0.587233573752272,0,0,0,0.33614317692432,0.0140738181004068,0,0.0361412603049056
573.15,81,3071.29186941169,1345.49536229464,-346797.677217505,0.0855950126831833,0.075777534783235,0.159130731039646,0.141374055756296,0,0.0264081709180955,0,0,0.587233573752272,0,0,0,0.33614317692432,0.0140738181004068,0,0.0361412603049056
573.15,82,3071.29186945386,1348.14691067433,-346802.242706957,0.0855950126831831,0.078585099268997,0.159130731039646,0.141374055756296,0,0.0264081708066929,0,0,0.587233573858367,0,0,0,0.336143176928937,0.0140738181006001,0,0.0361412603054033
573.15,83,3071.29186945386,1348.14691067433,-346802.242706957,0.0855950126831831,0.078585099268997,0.159130731039646,0.141374055756296,0,0.0264081708066929,0,0,0.587233573858367,0,0,0,0.336143176928937,0.0140738181006001,0,0.0361412603054033
573.15,84,3071.29186941169,1350.76296169965,-346810.962070226,0.0855950126831834,0.0813138204430037,0.159130731039646,0.141374055756296,0,0.0264081709180955,0,0,0.587233573752272,0,0,0,0.33614317692432,0.0140738181004068,0,0.0361412603049056
573.15,85,3071.29186941169,1350.76296169965,-346810.962070226,0.0855950126831834,0.0813138204430037,0.159130731039646,0.141374055756296,0,0.0264081709180955,0,0,0.587233573752272,0,0,0,0.33614317692432,0.0140738181004068,0,0.0361412603049056
573.15,86,3071.29186941169,1353.34401655589,-346823.092997116,0.0855950126831833,0.0839669734886414,0.159130731039646,0.141374055756296,0,0.0264081709180955,0,0,0.587233573752272,0,0,0,0.33614317692432,0.0140738181004068,0,0.0361412603049056
573.15,87,3071.29186941169,1353.34401655589,-346823.092997116,0.0855950126831833,0.0839669734886414,0.159130731039646,0.141374055756296,0,0.0264081709180955,0,0,0.587233573752272,0,0,0,0.33614317692432,0.0140738181004068,0,0.0361412603049056
573.15,88,3071.29186933641,1355.89058173602,-346838.014087583,0.0855950126831839,0.0865476546635712,0.159130731039645,0.141374055756295,0,0.0264081709174482,0,0,0.587233573762391,0,0,0,0.336143176916081,0.0140738181000618,0,0.0361412603040172
573.15,89,3071.29186933641,1355.89058173602,-346838.014087583,0.0855950126831839,0.0865476546635712,0.159130731039645,0.141374055756295,0,0.0264081709174482,0,0,0.587233573762391,0,0,0,0.336143176916081,0.0140738181000618,0,0.0361412603040172
573.15,90,3071.29186941169,1358.40316722392,-346855.206912626,0.0855950126831833,0.0890587933536586,0.159130731039646,0.141374055756296,0,0.0264081709180955,0,0,0.587233573752272,0,0,0,0.33614317692432,0.0140738181004068,0,0.0361412603049056
573.15,91,3071.29186941169,1358.40316722392,-346855.206912626,0.0855950126831833,0.0890587933536586,0.159130731039646,0.141374055756296,0,0.0264081709180955,0,0,0.587233573752272,0,0,0,0.33614317692432,0.0140738181004068,0,0.0361412603049056
573.15,92,3071.29186930138,1360.88228486069,-346874.233843339,0.0855950126831828,0.091503163165392,0.159130731039646,0.141374055756296,0,0.0264081712961769,0,0,0.587233573388063,0,0,0,0.336143176912249,0.0140738180999014,0,0.0361412603036104
573.15,93,3071.29186930138,1360.88228486069,-346874.233843339,0.0855950126831828,0.091503163165392,0.159130731039646,0.141374055756296,0,0.0264081712961769,0,0,0.587233573388063,0,0,0,0.336143176912249,0.0140738180999014,0,0.0361412603036104
573.15,94,3071.29186915084,1363.32844711494,-346894.726252273,0.0855950126831825,0.093883392145103,0.159130731039646,0.141374055756296,0,0.0264081712948825,0,0,0.587233573408293,0,0,0,0.336143176895773,0.0140738180992115,0,0.0361412603018405
573.15,95,3071.29186915084,1363.32844711494,-346894.726252273,0.0855950126831825,0.093883392145103,0.159130731039646,0.141374055756296,0,0.0264081712948825,0,0,0.587233573408293,0,0,0,0.336143176895773,0.0140738180992115,0,0.0361412603018405
573.15,96,3071.29186915084,1365.74216597184,-346916.377862418,0.0855950126831827,0.0962019722041363,0.159130731039646,0.141374055756296,0,0.0264081712948825,0,0,0.587233573408294,0,0,0,0.336143176895772,0.0140738180992115,0,0.0361412603018396
573.15,97,3071.29186915084,1365.74216597184,-346916.377862418,0.0855950126831827,0.0962019722041363,0.159130731039646,0.141374055756296,0,0.0264081712948825,0,0,0.587233573408294,0,0,0,0.336143176895772,0.0140738180992115,0,0.0361412603018396
573.15,98,3071.29186915084,1368.12395173395,-346938.92647129,0.0855950126831829,0.0984612678210377,0.159130731039646,0.141374055756296,0,0.0264081712948825,0,0,0.587233573408295,0,0,0,0.336143176895772,0.0140738180992115,0,0.0361412603018387
573.15,99,3071.29186915084,1368.12395173395,-346938.92647129,0.0855950126831829,0.0984612678210377,0.159130731039646,0.141374055756296,0,0.0264081712948825,0,0,0.587233573408295,0,0,0,0.336143176895772,0.0140738180992115,0,0.0361412603018387
573.15,100,3071.29186915084,1368.12395173395,-346938.92647129,0.0855950126831829,0.0984612678210377,0.159130731039646,0.141374055756296,0,0.0264081712948825,0,0,0.587233573408295,0,0,0,0.336143176895772,0.0140738180992115,0,0.0361412603018387
578.262244897959,0,2861.6060336411,1285.81635277177,-423826.788627777,0,5.29360832899479e-10,0.207043208073557,0.18394019716318,0.0119690844163145,0,0.87878878113696,0.0375545382413748,0,0.0314534985316018,0,0,0,0,0,0.0438196451736695
578.262244897959,1,2858.6350182101,1285.81664258096,-399923.21942292,0.00265524860878257,4.66583972099969e-07,0.205199763791048,0.182302454452666,0.0117701652934599,0.00836388756632669,0.860990425219274,0.0435804268631052,0,0.0303563781922681,0,0,0,0,0,0.0433844061803765
578.262244897959,2,2872.04230445652,1285.81703940326,-395798.990059842,0.00528000420277365,1.10472289210578e-06,0.204027390591925,0.181260901052281,0.0112598610832672,0.0319228256479569,0.81729713717563,0.0742884744492381,0.00749561159606955,0.0256570995136745,0,0,0,0,0,0.0433388516174305
578.262244897959,3,2872.04230445652,1285.81703940326,-395798.990059842,0.00528000420277365,1.10472289210578e-06,0.204027390591925,0.181260901052281,0.0112598610832672,0.0319228256479569,0.81729713717563,0.0742884744492381,0.00749561159606955,0.0256570995136745,0,0,0,0,0,0.0433388516174305
